0.002	0.080	0.060	16.478
21.835	0.080	0.220	2.518
37.173	0.080	0.480	3.516
55.069	0.080	0.080	0.538
66.971	0.080	0.980	0.302
70.424	0.140	0.100	7.564
75.758	0.080	0.080	0.474
82.636	0.080	0.320	0.260
85.945	0.060	0.060	17.836
90.852	0.100	0.300	0.466
94.286	0.120	0.380	13.180
98.605	0.080	0.180	0.342
103.063	0.060	0.540	0.346
112.428	0.100	0.080	0.646
117.946	0.200	0.140	3.300
133.390	0.100	0.280	0.518
150.742	0.220	0.120	2.448
155.141	0.040	0.520	0.270
164.066	0.020	0.500	0.016
183.417	0.140	0.260	0.214
193.787	0.140	0.260	1.694
198.622	0.080	0.080	4.890
222.526	0.120	0.280	7.960
237.912	0.080	0.100	0.294
239.753	0.100	0.220	5.474
247.583	0.080	0.120	0.224
266.983	0.160	0.140	17.158
291.436	0.100	0.260	1.586
309.846	0.080	0.420	0.400
332.232	0.140	0.260	0.378
342.579	0.080	0.120	7.966
345.432	0.200	0.180	0.300
347.846	0.420	0.120	1.196
367.687	0.100	0.120	0.268
370.125	0.080	0.080	0.242
377.955	0.080	0.100	6.262
395.797	0.080	0.080	3.242
413.624	0.060	0.300	8.928
434.454	0.720	0.160	1.380
438.386	0.120	0.160	3.098
464.225	0.340	0.360	5.686
481.060	0.220	0.300	3.266
486.896	0.060	0.120	0.732
496.268	0.100	0.420	0.362
510.104	0.120	0.080	0.312
518.470	0.080	0.240	0.558
530.832	0.160	0.360	1.384
552.176	0.020	0.360	0.020
564.125	0.100	0.120	0.734
585.561	0.100	0.080	5.006
602.450	0.040	0.500	1.286
609.386	0.120	0.140	0.328
618.281	0.080	0.100	1.666
623.620	0.060	0.240	0.016
625.601	0.120	0.340	0.450
638.467	0.080	0.660	0.284
644.832	0.080	0.100	0.998
687.667	0.260	1.060	5.910
689.606	0.260	0.080	1.640
691.949	0.040	0.320	0.668
701.795	0.060	0.100	0.216
703.648	0.080	0.080	0.394
705.488	0.060	0.300	1.410
722.815	0.260	0.540	7.586
747.145	0.120	0.240	2.310
766.504	0.100	0.080	0.192
768.831	0.080	0.120	0.246
772.286	0.160	0.140	0.436
804.129	0.120	0.360	1.256
823.468	0.040	0.140	0.434
895.012	0.180	0.280	1.146
896.892	0.280	0.300	0.098
900.326	0.400	1.700	0.940
903.716	0.400	0.160	10.374
916.633	0.060	0.580	0.242
930.464	0.080	0.700	0.256
938.835	0.820	0.360	4.336
945.188	0.060	0.320	0.528
954.530	0.040	0.340	0.452
959.384	0.060	0.180	5.248
974.743	0.280	1.220	3.280
1009.080	0.080	0.260	9.250
1010.997	0.180	0.460	0.778
1016.827	0.140	0.160	4.098
1033.157	0.060	0.060	16.444
1054.497	0.160	0.420	15.580
1056.416	0.080	0.240	0.466
1068.324	0.100	0.200	0.264
1070.724	0.040	1.700	0.070
1074.103	0.140	0.220	1.454
1083.030	0.060	0.120	0.368
1108.036	0.140	0.480	1.324
1113.428	0.060	0.100	0.318
1116.821	0.040	0.140	17.256
1122.732	0.320	0.080	9.370
1140.558	0.040	0.340	0.414
1180.430	0.120	0.320	0.072
1202.770	0.160	0.100	10.960
1219.707	0.060	0.220	0.310
1222.556	0.160	0.080	9.322
1224.913	0.080	0.160	0.266
1229.283	0.080	0.860	0.270
1233.628	0.080	0.720	11.550
1239.491	0.100	0.240	0.824
1247.457	0.220	0.320	4.136
1260.313	0.080	0.340	0.238
1280.155	0.400	0.300	0.940
1284.488	0.280	0.720	7.420
1293.855	0.080	0.280	0.238
1296.193	0.100	0.400	0.342
1301.616	0.120	0.200	1.222
1309.991	0.140	0.460	0.428
1319.577	0.180	0.400	0.522
1322.996	0.080	0.400	0.368
1324.954	0.580	0.820	3.542
1328.388	0.140	0.820	0.420
1334.227	0.060	0.260	0.238
1342.691	0.060	0.340	0.522
1345.611	0.260	0.100	1.674
1353.446	0.040	0.440	0.238
1355.838	0.020	0.080	0.022
1365.672	0.080	0.140	0.822
1371.010	0.080	0.140	0.584
1385.845	0.200	0.620	0.238
1391.780	0.080	0.420	1.932
1404.210	0.260	0.460	4.040
1406.560	0.060	0.120	0.232
1412.396	0.040	0.100	11.164
1430.739	0.100	0.180	0.320
1432.552	0.060	0.500	0.426
1453.518	0.100	0.800	6.852
1465.497	0.060	0.400	0.466
1535.340	0.080	0.200	0.274
1557.681	0.060	0.080	13.068
1578.519	0.140	0.280	0.436
1602.871	0.800	0.340	0.836
1625.726	0.100	0.460	0.248
1627.554	0.660	0.220	0.582
1651.924	0.140	0.080	3.426
1664.246	0.100	0.740	0.380
1674.096	0.120	0.340	0.266
1675.931	0.060	0.200	0.262
1689.304	0.080	0.220	0.254
1691.173	0.080	0.400	0.324
1712.018	0.080	0.460	0.352
1715.353	0.080	0.380	0.268
1728.256	0.100	0.440	1.480
1748.589	0.120	0.140	1.066
1771.131	0.040	0.100	0.340
1794.067	0.100	1.040	0.240
1816.947	0.140	0.180	0.230
1824.372	0.020	0.180	0.062
1827.702	0.020	1.240	0.052
1870.567	0.040	0.460	0.022
1875.927	0.080	0.240	0.202
1877.768	0.220	0.140	2.092
1886.667	0.120	0.200	3.710
1889.053	0.120	0.120	0.242
1892.442	0.060	0.440	2.900
1900.777	0.020	0.600	0.038
1922.118	0.080	0.080	5.566
1928.506	0.160	0.320	1.462
1949.942	0.060	0.760	2.966
1963.857	0.120	0.200	0.240
1972.254	0.080	0.100	5.262
1980.179	0.100	0.180	0.254
2012.624	0.180	0.120	5.654
2027.454	0.400	0.480	0.342
