0.002	0.132	0.204	0.236
8.829	0.100	0.540	1.202
52.739	0.092	0.300	0.252
68.564	0.380	0.364	0.948
77.927	0.092	0.444	0.358
87.802	0.484	0.332	1.642
99.658	0.100	0.460	0.756
130.502	0.148	0.612	2.260
134.865	0.212	0.788	4.224
140.241	0.236	0.172	1.050
143.575	0.244	0.404	2.186
161.444	0.156	0.124	1.946
169.280	0.148	0.028	19.112
171.105	0.212	0.516	4.732
179.429	0.068	0.220	0.732
215.765	0.180	0.492	1.780
220.741	0.172	0.124	0.196
228.111	0.148	0.108	0.334
237.982	0.180	0.076	0.164
241.808	0.092	0.332	0.630
262.639	0.108	0.460	0.882
267.470	0.108	0.116	1.100
278.805	0.908	0.740	1.818
298.812	0.204	0.084	3.880
362.159	0.132	0.236	1.540
364.130	0.108	0.292	2.654
374.018	0.068	0.252	0.246
383.392	0.116	0.692	6.940
406.784	0.140	0.196	1.708
458.203	0.092	0.068	0.244
517.641	0.428	0.852	3.806
530.474	0.428	0.220	2.488
533.820	0.076	0.148	5.890
537.278	0.180	0.244	2.562
598.694	0.244	0.308	1.050
613.077	0.124	0.316	0.006
624.399	0.164	0.180	0.098
633.239	0.076	0.140	1.238
669.584	0.100	0.292	5.304
671.406	0.084	0.084	1.254
686.765	0.092	1.772	0.042
736.598	0.324	0.228	4.842
780.975	0.332	0.076	0.406
794.359	0.164	0.164	0.176
801.764	0.076	0.452	0.912
847.670	0.076	0.124	0.234
870.080	0.076	0.396	0.436
879.899	0.068	0.100	0.262
882.810	0.092	0.140	0.374
899.694	0.076	0.116	0.324
903.093	0.324	0.092	0.592
905.430	0.076	0.188	4.726
912.263	0.092	0.204	0.486
924.106	0.068	1.004	0.244
982.451	0.668	0.140	0.324
984.780	0.780	0.892	0.554
1026.617	0.124	0.524	0.256
1044.600	0.124	0.308	0.644
1095.487	0.108	0.460	7.188
1101.871	0.076	0.396	3.302
1171.728	0.100	0.620	4.606
1194.630	0.180	0.620	4.322
1232.024	0.460	0.428	1.334
1235.400	0.084	0.900	0.460
1255.734	0.164	0.508	1.330
1309.078	0.124	0.572	0.256
1310.903	0.332	0.180	5.176
1321.419	0.276	0.260	1.170
1360.258	0.076	0.084	3.496
1400.084	0.268	0.436	1.134
1477.944	0.172	0.972	1.144
1501.282	0.236	0.388	2.394
1539.116	0.076	0.108	4.312
1549.448	0.076	0.172	1.492
1570.781	0.172	0.100	3.416
1583.118	0.116	0.092	0.354
1598.985	0.108	0.140	0.084
1622.489	0.460	0.148	0.876
1633.906	0.100	0.172	0.652
1664.730	0.116	0.444	0.228
1676.595	0.132	1.532	0.564
1687.545	0.124	0.108	9.328
1723.424	0.500	0.380	5.484
1727.835	0.196	0.180	0.134
1731.180	0.420	0.212	1.726
1800.559	0.212	0.428	4.322
1805.386	0.636	0.564	3.328
1817.246	0.196	0.292	2.440
1842.088	0.092	0.132	2.240
1868.472	0.084	0.404	0.148
1919.318	0.724	0.084	1.794
1923.154	0.108	0.052	0.426
1940.984	0.068	0.148	4.032
1944.348	0.084	0.268	16.732
1991.169	0.796	0.228	3.118
2027.596	0.700	0.420	3.114
2077.488	0.092	0.444	10.904
2080.832	0.420	0.148	3.668
2086.699	0.092	0.100	0.332
2089.045	0.156	0.132	0.336
2125.392	0.388	0.444	2.078
2129.248	0.100	0.148	0.708
2165.114	0.172	0.108	0.408
2173.006	0.076	0.276	4.438
2180.360	0.124	0.180	0.334
2198.182	0.108	0.132	0.640
2220.002	0.116	0.188	3.168
2255.340	0.396	0.620	0.126
2271.173	1.028	0.404	0.426
2316.052	0.100	0.076	0.954
2336.384	0.164	0.220	3.854
2368.719	0.132	0.028	19.390
2374.609	0.100	1.772	0.316
2406.469	0.100	0.100	3.028
2418.870	0.108	0.380	0.392
2426.757	0.100	0.132	9.426
2436.109	0.132	0.524	0.262
2439.646	0.100	0.244	0.544
2485.079	0.076	0.500	3.424
2500.908	0.308	0.308	0.390
2521.230	0.084	0.116	17.314
2532.105	0.140	0.636	0.388
2536.959	0.140	0.332	5.032
2541.914	0.564	0.644	0.380
2550.766	0.108	0.164	3.572
2554.107	0.060	0.180	2.482
2566.948	0.084	0.156	0.296
2570.285	0.076	0.268	0.244
2591.626	0.076	0.228	0.256
2603.008	0.084	0.284	2.422
2631.496	0.284	0.140	0.468
2635.957	0.156	0.996	0.330
2665.818	0.084	0.156	0.246
2682.241	0.076	1.164	2.716
2693.600	0.108	0.564	0.238
2697.061	0.740	0.148	0.642
2698.934	0.108	0.580	0.296
2700.796	0.108	0.108	0.640
2704.163	0.196	0.212	0.570
2720.032	0.156	0.124	0.240
2722.898	0.060	0.876	0.128
2747.327	0.068	0.340	0.530
2750.670	0.076	0.124	7.092
2761.506	0.100	0.116	0.244
2771.040	0.076	0.156	0.856
2792.987	0.196	0.324	1.084
2804.355	0.116	0.468	0.238
2824.199	0.164	0.212	2.996
2844.030	0.100	0.244	0.292
2893.889	0.092	0.228	3.888
2907.795	0.076	0.060	0.244
2911.258	0.124	0.124	0.674
2913.166	0.076	0.148	0.268
2926.605	0.060	0.404	0.300
2929.549	0.164	0.108	3.304
2945.487	0.084	0.412	2.544
2947.339	0.156	0.076	1.096
2959.695	0.084	0.084	0.294
2961.588	0.420	0.548	0.242
2968.921	0.180	0.164	5.456
2976.749	0.100	0.388	2.338
2983.707	0.108	0.308	0.360
3014.559	0.140	0.140	5.366
3046.906	0.196	0.140	0.316
3067.739	0.124	0.332	0.356
3077.568	0.124	0.284	0.384
3090.406	0.140	0.100	5.894
3092.328	0.076	0.268	2.908
3103.164	0.236	0.212	0.534
3129.048	0.108	0.740	0.234
3133.380	0.516	0.348	0.248
3138.761	0.980	0.948	0.244
3151.104	0.060	0.140	0.244
3171.469	0.108	0.372	2.366
3177.300	0.268	0.076	1.018
3194.528	0.092	0.204	0.360
3197.940	0.092	0.884	0.348
3201.301	0.092	0.340	0.656
3206.632	0.076	0.508	4.834
3218.461	0.108	0.780	0.224
3222.350	0.100	0.108	0.410
3226.189	0.188	0.596	3.460
3264.029	0.060	0.140	0.326
3272.878	0.148	0.156	0.146
3292.460	0.164	0.492	7.598
3306.296	0.068	0.108	0.228
3315.644	0.084	0.132	0.696
3322.980	0.092	0.196	0.234
3326.942	0.100	0.612	0.148
3330.270	0.076	0.100	0.262
3340.638	0.148	0.564	3.490
3344.469	0.092	0.132	0.258
3349.921	0.124	0.364	1.664
3363.831	0.084	0.220	0.312
3370.292	0.172	0.324	0.274
3373.652	0.132	0.244	1.490
3403.516	0.076	0.188	0.344
3406.349	0.092	0.516	0.284
3408.273	0.892	0.244	2.534
3421.638	0.164	0.156	2.064
3425.024	0.596	0.236	0.184
3466.923	0.068	0.084	0.284
3471.364	0.116	0.332	2.376
3474.719	0.108	0.228	0.672
3482.215	0.068	0.188	0.228
3493.105	0.084	1.548	2.302
3508.947	0.060	1.268	0.346
3513.272	0.068	0.276	5.556
3530.133	0.148	0.476	0.278
3537.022	0.164	0.308	0.822
3579.873	0.300	0.476	1.658
3590.316	0.388	0.372	2.946
3601.558	0.068	0.308	3.570
3609.063	0.084	1.772	0.234
3632.524	0.084	0.108	3.874
3638.369	0.076	0.220	0.690
3676.729	0.076	0.172	0.250
3694.076	0.100	1.604	0.318
3704.015	0.068	0.092	6.578
3705.890	0.084	0.148	0.300
3731.224	0.076	0.068	15.238
3741.572	0.260	0.140	0.836
3789.514	0.084	0.620	0.226
3799.372	0.100	0.244	0.398
3808.295	0.116	0.140	0.264
3819.240	0.172	0.548	2.114
3826.670	0.108	0.284	0.658
3832.042	0.084	0.708	6.524
3843.418	0.108	0.292	0.308
3856.289	0.084	0.692	0.232
3859.654	0.140	0.116	3.418
3898.501	0.684	0.508	1.860
3904.854	0.108	0.588	0.680
3919.199	0.284	0.476	3.946
3929.598	0.116	0.316	7.738
3952.968	0.724	0.620	2.278
3960.314	0.076	0.404	2.222
3969.197	0.476	0.452	6.424
3988.623	0.108	0.204	0.232
3992.010	0.180	0.588	2.780
4010.866	0.084	0.172	8.890
4018.219	0.076	0.156	0.408
4022.703	0.100	0.324	0.202
4050.116	0.068	0.100	0.348
4064.941	0.076	0.636	0.248
4067.433	0.084	0.324	2.678
4075.879	0.140	0.076	0.054
4086.718	0.076	0.180	0.210
4095.138	0.100	0.108	0.468
4130.491	0.268	0.108	0.334
4150.358	0.708	0.316	5.152
4159.219	0.756	0.124	1.866
4172.044	0.108	0.156	14.288
4179.119	0.244	0.164	2.964
4200.989	0.292	0.316	2.626
4209.896	0.476	0.556	0.414
4226.730	0.076	0.076	0.806
4235.577	0.244	0.308	4.194
4240.919	0.084	0.348	2.362
4254.751	0.108	0.676	0.664
4256.662	0.092	0.068	0.444
4268.006	0.100	0.468	0.960
4283.850	0.316	0.500	4.666
4286.189	0.428	0.292	5.646
4291.198	0.092	0.244	0.240
4337.644	0.092	0.228	3.050
4339.497	0.060	0.172	0.252
4345.831	0.116	0.108	0.392
4359.731	0.092	0.436	0.406
4372.077	0.444	0.092	6.912
4403.913	0.508	0.220	0.110
4420.262	0.116	0.084	16.014
4424.584	0.084	0.156	0.618
4431.782	0.108	0.548	0.832
4455.149	0.076	0.460	0.292
4471.020	0.268	0.444	2.978
4482.869	0.092	0.204	9.244
4490.881	0.092	0.468	0.266
4507.294	0.500	0.260	0.404
4513.729	0.076	0.140	0.752
4523.700	0.124	0.172	0.556
4531.107	0.076	0.508	0.306
4546.442	0.116	0.348	0.566
4574.282	0.140	0.676	0.544
4576.111	0.076	0.204	1.104
4582.198	0.172	0.156	1.796
4586.682	0.084	0.124	0.414
4588.552	0.148	0.332	0.890
4595.494	0.132	0.124	0.340
