0.002	5.242
15.349	1.864
24.794	1.202
26.726	0.228
29.566	0.238
66.986	5.928
78.819	6.124
88.777	19.358
91.644	0.376
93.488	3.182
125.835	0.582
134.164	0.252
148.551	0.940
150.947	0.484
161.284	0.334
163.165	0.298
170.996	0.464
173.456	0.406
176.741	3.084
182.691	3.018
218.529	17.250
228.398	3.034
233.301	1.008
236.655	0.502
248.052	0.288
258.478	0.640
280.819	4.402
291.142	0.588
305.989	3.102
311.919	0.128
323.255	2.076
342.087	0.248
344.003	1.300
348.851	0.316
353.267	5.584
358.644	8.642
389.502	0.352
419.834	0.284
422.234	0.426
427.058	7.100
481.899	2.752
486.818	5.132
505.683	0.316
509.116	0.254
528.560	0.094
538.390	0.976
561.230	0.288
567.719	8.176
606.594	0.624
608.452	0.240
619.297	0.764
631.666	3.620
636.560	0.358
653.498	2.010
669.332	0.272
683.671	0.428
685.506	7.494
689.423	0.256
702.863	8.344
708.790	0.236
711.130	0.894
733.536	0.372
758.465	0.298
786.479	0.392
800.978	0.258
808.328	0.458
810.158	3.922
832.133	2.784
839.465	0.698
854.799	0.326
856.624	3.852
862.014	3.924
880.449	3.684
891.808	0.612
920.641	0.378
934.491	7.110
937.371	2.956
940.776	1.456
948.108	1.164
956.108	13.688
958.460	0.770
966.349	0.308
969.698	2.990
973.029	0.460
980.361	0.242
1024.277	2.796
1042.685	2.646
1050.084	2.152
1052.444	0.282
1058.806	0.714
1078.146	0.422
1084.598	2.318
1132.975	3.272
1154.310	0.242
1156.676	8.698
1166.016	0.284
1196.848	2.062
1200.802	1.198
1203.650	0.300
1221.487	0.402
1227.383	0.240
1262.749	0.236
1274.228	0.210
1280.087	0.364
1284.919	5.662
1301.253	0.478
1308.100	2.670
1317.431	15.322
1326.458	0.496
1356.855	3.350
1365.196	0.218
1370.620	1.944
1380.513	2.248
1391.979	1.484
1408.870	4.760
1415.293	0.258
1449.248	2.930
1455.105	0.202
1469.026	3.862
1481.859	0.292
1491.534	0.174
1500.565	0.810
1503.450	1.554
1521.280	4.782
1526.708	0.258
1531.549	0.436
1534.912	0.374
1540.284	0.362
1543.719	0.608
1580.557	4.402
1593.888	0.538
1600.245	0.660
1602.645	0.408
1604.514	0.864
1617.873	0.280
1629.740	5.770
1631.570	3.276
1649.913	0.240
1655.749	0.228
1683.610	0.506
1696.487	15.004
1698.354	0.266
1720.215	14.140
1725.039	18.184
1738.964	0.434
1740.826	0.178
1761.198	0.226
1769.605	0.620
1807.119	1.036
1811.950	0.274
1815.324	2.516
1818.666	2.020
1851.999	4.118
1855.348	0.872
1879.778	1.258
1881.654	6.480
1888.495	0.278
1899.336	0.274
1905.176	0.304
1916.564	0.212
1922.414	0.290
1939.250	14.946
1952.092	12.122
1973.475	10.450
1976.768	6.066
2019.113	0.286
2025.951	1.364
2040.968	0.430
2044.360	8.538
2049.198	0.246
2055.550	0.470
2067.385	0.534
2085.220	2.606
2099.066	0.090
2103.535	3.360
2106.882	0.254
2111.728	0.348
2125.072	2.282
2129.499	0.330
2169.393	0.262
2184.834	2.944
2198.689	0.962
2207.528	0.222
2214.367	12.032
2223.220	6.764
2245.629	0.272
2258.494	8.600
2267.846	0.300
2272.681	4.548
2295.156	2.962
2301.491	3.342
2306.365	0.468
2309.717	6.212
2311.585	0.438
2336.516	0.594
2338.876	0.456
2345.707	5.248
2353.058	0.398
2356.417	1.632
2358.295	1.934
2360.634	0.248
2366.965	0.242
2368.929	0.298
2385.459	0.606
2387.319	0.294
2408.664	0.568
2419.089	0.748
2429.427	13.582
2431.271	3.312
2439.100	2.608
2447.930	1.014
2459.859	12.702
2486.199	1.444
2488.075	1.760
2495.908	1.924
2507.300	2.262
2513.629	0.364
