Data run started at:  Thursday, October 19, 2017	3:30:23 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
2.654368	0.369739	0.183992	81.316000
2.675419	0.368537	0.185439	81.816000
2.696061	0.367257	0.186953	82.316000
2.716407	0.366362	0.188364	82.816000
2.736004	0.365784	0.189709	83.317000
2.755688	0.365687	0.191087	83.816000
2.775414	0.365373	0.192436	84.316000
2.795190	0.364773	0.193700	84.816000
2.815431	0.364061	0.194988	85.316000
2.835010	0.362873	0.196244	85.817000
2.856298	0.361400	0.197590	86.316000
2.877052	0.359565	0.198976	86.816000
2.896112	0.357961	0.200239	87.316000
2.916113	0.356874	0.201576	87.816000
2.937072	0.356664	0.203061	88.316000
2.955228	0.356803	0.204653	88.816000
2.975932	0.356977	0.206220	89.316000
2.996814	0.356903	0.207653	89.817000
3.017748	0.355889	0.209082	90.316000
3.039624	0.353751	0.210363	90.816000
3.061123	0.351351	0.211720	91.317000
3.084573	0.349222	0.213090	91.816000
3.104726	0.347913	0.214527	92.317000
3.125095	0.347420	0.216005	92.816000
3.145972	0.347563	0.217387	93.316000
3.166278	0.348451	0.218749	93.816000
3.187002	0.349514	0.220115	94.316000
3.207620	0.349771	0.221615	94.816000
3.228257	0.348490	0.223102	95.316000
3.248375	0.346337	0.224504	95.816000
3.267512	0.343718	0.225931	96.316000
3.288095	0.341119	0.227399	96.816000
3.308390	0.339077	0.228760	97.316000
3.331451	0.338079	0.229878	97.816000
3.351090	0.338382	0.230810	98.316000
3.371039	0.339738	0.231990	98.817000
3.392205	0.341553	0.233281	99.316000
3.413563	0.343160	0.234732	99.817000
3.434651	0.343829	0.236180	100.316000
3.455078	0.342957	0.237680	100.816000
3.475672	0.340614	0.239249	101.317000
3.499119	0.337498	0.240752	101.816000
3.519657	0.333953	0.242180	102.316000
3.540660	0.330396	0.243556	102.816000
3.561128	0.327744	0.244846	103.317000
3.581811	0.326861	0.246108	103.816000
3.602818	0.327790	0.247236	104.316000
3.624798	0.330236	0.248463	104.816000
3.646241	0.333468	0.249838	105.316000
3.666619	0.336526	0.251374	105.817000
3.688138	0.338151	0.252993	106.317000
3.709128	0.338259	0.254735	106.816000
3.730627	0.336690	0.256476	107.316000
3.750458	0.333610	0.258091	107.816000
3.772126	0.329701	0.259657	108.316000
3.793527	0.325408	0.261222	108.817000
3.815943	0.321130	0.262507	109.316000
3.839744	0.317682	0.263694	109.817000
3.861098	0.316080	0.264854	110.316000
3.880685	0.316523	0.266045	110.816000
3.901192	0.318945	0.267403	111.317000
3.921524	0.322757	0.268837	111.816000
3.941251	0.327112	0.270054	112.316000
3.961533	0.331218	0.271293	112.816000
3.982023	0.334870	0.272692	113.316000
4.002495	0.337155	0.274245	113.816000
4.022220	0.337650	0.275863	114.316000
4.041108	0.336198	0.277263	114.816000
4.062435	0.332536	0.278702	115.317000
4.083799	0.327403	0.280314	115.816000
4.104807	0.321342	0.281967	116.316000
4.126071	0.315382	0.283506	116.816000
4.146363	0.310117	0.284809	117.316000
4.166664	0.306083	0.286166	117.816000
4.187363	0.303771	0.287471	118.316000
4.207449	0.303254	0.288763	118.817000
4.227756	0.305084	0.290144	119.316000
4.247986	0.309177	0.291308	119.817000
4.269128	0.314824	0.292456	120.316000
4.290379	0.321433	0.293550	120.817000
4.311383	0.328377	0.294762	121.316000
4.332239	0.334628	0.296160	121.816000
4.352937	0.339116	0.297746	122.316000
4.375010	0.342134	0.299365	122.816000
4.396399	0.343107	0.300790	123.317000
4.417488	0.341756	0.302404	123.816000
4.439939	0.337679	0.304150	124.316000
4.461212	0.331626	0.305874	124.816000
4.483233	0.324198	0.307661	125.317000
4.505486	0.316051	0.309324	125.816000
4.526385	0.307621	0.310901	126.316000
4.546540	0.300121	0.312346	126.816000
4.567041	0.294473	0.313748	127.316000
4.589609	0.290701	0.315055	127.816000
4.611007	0.289636	0.316262	128.316000
4.631628	0.291594	0.317344	128.817000
4.650539	0.296457	0.318327	129.316000
4.671820	0.303305	0.319181	129.816000
4.692588	0.311625	0.320259	130.316000
4.713362	0.320828	0.321421	130.816000
4.733148	0.330498	0.322730	131.316000
4.753999	0.339802	0.323988	131.817000
4.774786	0.347739	0.325334	132.316000
4.797700	0.353850	0.326597	132.816000
4.818058	0.357669	0.328012	133.316000
4.838374	0.358843	0.329662	133.816000
4.859205	0.357640	0.331483	134.317000
4.879905	0.353820	0.333474	134.816000
4.900742	0.347534	0.335400	135.316000
4.921368	0.339493	0.337208	135.816000
4.940714	0.330227	0.338971	136.317000
4.960352	0.320162	0.340632	136.817000
4.980843	0.309615	0.342314	137.316000
5.001499	0.299355	0.343871	137.817000
5.022942	0.289906	0.345247	138.316000
5.044620	0.282025	0.346532	138.817000
5.064755	0.276384	0.347840	139.316000
5.086015	0.273323	0.348977	139.816000
5.108145	0.273029	0.349984	140.316000
5.127173	0.275793	0.350810	140.816000
5.146506	0.281890	0.351781	141.316000
5.167807	0.291083	0.352636	141.816000
5.186523	0.302787	0.353551	142.317000
5.206792	0.316080	0.354612	142.816000
5.227268	0.330204	0.355705	143.316000
5.248648	0.344088	0.356697	143.816000
5.271359	0.356548	0.357814	144.317000
5.289768	0.367525	0.358945	144.816000
5.311606	0.376918	0.360119	145.316000
5.332443	0.384358	0.361454	145.816000
5.352710	0.389287	0.362913	146.316000
5.374219	0.391685	0.364554	146.816000
5.397543	0.391538	0.366388	147.316000
5.423448	0.388979	0.368161	147.817000
5.444342	0.384287	0.369966	148.316000
5.465433	0.377502	0.372003	148.816000
5.487849	0.368462	0.373805	149.316000
5.507341	0.357493	0.375661	149.816000
5.528844	0.345287	0.377616	150.316000
5.549250	0.332146	0.379419	150.817000
5.569947	0.318936	0.381326	151.316000
5.588837	0.305841	0.383246	151.816000
5.608808	0.293015	0.384999	152.316000
5.628264	0.281019	0.386474	152.816000
5.649537	0.270642	0.387675	153.317000
5.673395	0.262369	0.388721	153.816000
5.695085	0.256830	0.389753	154.317000
5.713451	0.254614	0.390758	154.816000
5.733600	0.256024	0.391593	155.316000
5.756192	0.260897	0.392395	155.816000
5.776359	0.269476	0.393154	156.317000
5.797511	0.281219	0.393970	156.816000
5.817065	0.295793	0.394939	157.316000
5.837510	0.312534	0.395898	157.816000
5.859106	0.330730	0.396801	158.316000
5.881478	0.349848	0.397848	158.816000
5.899488	0.368798	0.399082	159.316000
5.920178	0.386837	0.400323	159.816000
5.941769	0.403585	0.401549	160.316000
5.963171	0.418472	0.402757	160.817000
5.981806	0.431035	0.404066	161.316000
6.004172	0.441386	0.405519	161.816000
6.025661	0.448896	0.407034	162.316000
6.044014	0.453589	0.408637	162.816000
6.063706	0.455850	0.410400	163.317000
6.086255	0.455886	0.412038	163.816000
6.108778	0.453746	0.413709	164.316000
6.124615	0.449435	0.415345	164.816000
6.144916	0.443063	0.417072	165.316000
6.166116	0.435018	0.418849	165.816000
6.189102	0.425493	0.420774	166.316000
6.206638	0.414291	0.422624	166.816000
6.226346	0.401697	0.424488	167.316000
6.246278	0.388046	0.426445	167.816000
6.265665	0.374064	0.428361	168.316000
6.284332	0.359461	0.430396	168.816000
6.302366	0.344454	0.432352	169.316000
6.321649	0.329626	0.434237	169.817000
6.341070	0.314865	0.435914	170.316000
6.365161	0.300355	0.437561	170.816000
6.381827	0.286165	0.439078	171.316000
6.402985	0.272846	0.440435	171.816000
6.421540	0.260989	0.441501	172.316000
6.443422	0.250609	0.442513	172.816000
6.469599	0.242335	0.443522	173.317000
6.486145	0.236738	0.444332	173.816000
6.505492	0.233892	0.445083	174.317000
6.523441	0.234253	0.445735	174.816000
6.542233	0.238499	0.446270	175.316000
6.564029	0.246297	0.446459	175.816000
6.583038	0.258176	0.446824	176.316000
6.602060	0.273274	0.447417	176.816000
6.621239	0.290900	0.448063	177.317000
6.641777	0.310511	0.448736	177.817000
6.661519	0.331911	0.449393	178.316000
6.682240	0.354383	0.450322	178.816000
6.703462	0.377518	0.451401	179.316000
6.723781	0.400881	0.452581	179.817000
6.744492	0.424043	0.453577	180.316000
6.765287	0.446489	0.454542	180.817000
6.786421	0.467643	0.455578	181.316000
6.806439	0.487335	0.456648	181.816000
6.827485	0.505728	0.457797	182.316000
6.847941	0.522092	0.459168	182.817000
6.869110	0.535976	0.460521	183.316000
6.888297	0.547612	0.461910	183.816000
6.908452	0.557048	0.463413	184.317000
6.929242	0.563716	0.465092	184.816000
6.949628	0.567858	0.466766	185.316000
6.969604	0.569650	0.468509	185.816000
6.990341	0.569400	0.470364	186.317000
7.011831	0.567237	0.472337	186.816000
7.032844	0.562871	0.474228	187.316000
7.054274	0.556898	0.476069	187.816000
7.074965	0.549392	0.477735	188.316000
7.094024	0.540457	0.479339	188.817000
7.113935	0.530747	0.481002	189.316000
7.134991	0.519408	0.482926	189.817000
7.155592	0.506946	0.485051	190.316000
7.176044	0.493718	0.487159	190.816000
7.196411	0.479627	0.489396	191.316000
7.216220	0.464676	0.491475	191.816000
7.236857	0.448773	0.493478	192.316000
7.257937	0.432318	0.495462	192.816000
7.278287	0.415789	0.497415	193.316000
7.298279	0.398695	0.499406	193.816000
7.320058	0.381322	0.501226	194.317000
7.340948	0.363786	0.503132	194.816000
7.362030	0.346427	0.505172	195.316000
7.383426	0.329161	0.507158	195.816000
7.404259	0.312049	0.509090	196.317000
7.426476	0.295425	0.510687	196.816000
7.448048	0.279489	0.512138	197.316000
7.469295	0.264163	0.513274	197.816000
7.490392	0.249709	0.514524	198.316000
7.512398	0.236836	0.515477	198.817000
7.533665	0.226610	0.516242	199.316000
7.554843	0.219596	0.516922	199.816000
7.575644	0.215772	0.517490	200.316000
7.598740	0.215587	0.517894	200.816000
7.620715	0.219653	0.518312	201.316000
7.640928	0.227763	0.518690	201.817000
7.659655	0.239801	0.519004	202.316000
7.679680	0.255634	0.519591	202.816000
7.699823	0.274418	0.520136	203.316000
7.721499	0.296167	0.520794	203.816000
7.742374	0.320467	0.521387	204.316000
7.761798	0.346581	0.522037	204.816000
7.782802	0.374446	0.522694	205.317000
7.804302	0.403418	0.523419	205.816000
7.826044	0.432726	0.524222	206.317000
7.847309	0.462543	0.524977	206.816000
7.867624	0.492153	0.525906	207.316000
7.888427	0.521008	0.526812	207.816000
7.908048	0.548960	0.527932	208.317000
7.929623	0.575764	0.529233	208.817000
7.949187	0.601014	0.530603	209.316000
7.969846	0.624581	0.531992	209.816000
7.990485	0.646364	0.533238	210.316000
8.011411	0.666240	0.534535	210.816000
8.031759	0.684169	0.535987	211.316000
8.052772	0.700365	0.537393	211.816000
8.073564	0.714681	0.538810	212.316000
8.092585	0.727669	0.540336	212.816000
8.112131	0.738641	0.541807	213.316000
8.132480	0.747881	0.543144	213.816000
8.152762	0.754636	0.544493	214.316000
