Data run started at:  Thursday, October 19, 2017	2:43:50 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	6.406000
0.053398	0.498894	-0.006470	6.785000
0.053444	0.499107	-0.006477	7.285000
0.053200	0.499170	-0.006334	7.786000
0.053215	0.499090	-0.006129	8.285000
0.053267	0.498913	-0.005953	8.785000
0.053412	0.498601	-0.005796	9.285000
0.057925	0.498563	-0.005724	9.785000
0.074619	0.498708	-0.005632	10.285000
0.100830	0.498958	-0.005568	10.785000
0.122696	0.499096	-0.005451	11.285000
0.142617	0.499309	-0.005324	11.785000
0.162847	0.499728	-0.005034	12.285000
0.181829	0.499775	-0.004565	12.785000
0.201175	0.499461	-0.003987	13.285000
0.214313	0.498904	-0.003235	13.785000
0.230350	0.497654	-0.002552	14.285000
0.248797	0.496711	-0.001799	14.786000
0.265381	0.495568	-0.000816	15.285000
0.277930	0.494397	0.000198	15.785000
0.296146	0.493618	0.001086	16.285000
0.314334	0.493122	0.002143	16.786000
0.334396	0.492455	0.003011	17.285000
0.353245	0.491589	0.004033	17.785000
0.370410	0.491022	0.005135	18.285000
0.388132	0.490647	0.006275	18.785000
0.408936	0.490004	0.007472	19.285000
0.424811	0.489608	0.008769	19.785000
0.442596	0.489101	0.010238	20.285000
0.458628	0.488081	0.011499	20.785000
0.478949	0.486936	0.012595	21.285000
0.504075	0.485257	0.013548	21.785000
0.528317	0.483923	0.014535	22.285000
0.542397	0.482763	0.015682	22.785000
0.561182	0.481792	0.016840	23.285000
0.589709	0.481301	0.018024	23.785000
0.609012	0.479924	0.019323	24.285000
0.628485	0.477842	0.020523	24.785000
0.647406	0.475729	0.021775	25.285000
0.668231	0.474047	0.023186	25.785000
0.688420	0.472877	0.024513	26.285000
0.700002	0.472038	0.025852	26.785000
0.722442	0.471239	0.027115	27.285000
0.750141	0.470626	0.028462	27.785000
0.769440	0.470472	0.029908	28.285000
0.785742	0.469066	0.031317	28.785000
0.813452	0.467901	0.032690	29.285000
0.836530	0.467028	0.034012	29.785000
0.854477	0.465816	0.035378	30.285000
0.865315	0.464799	0.036851	30.785000
0.887869	0.464137	0.038237	31.285000
0.908397	0.463720	0.039696	31.785000
0.925722	0.462824	0.041049	32.285000
0.944770	0.461639	0.042368	32.785000
0.968132	0.460566	0.043768	33.285000
0.995095	0.459206	0.045230	33.786000
1.018003	0.457511	0.046485	34.285000
1.031177	0.456646	0.047718	34.785000
1.045657	0.455287	0.049098	35.285000
1.066144	0.453666	0.050538	35.785000
1.079779	0.452045	0.052030	36.285000
1.096044	0.450572	0.053331	36.785000
1.115728	0.448901	0.054619	37.285000
1.134586	0.447258	0.056034	37.785000
1.158066	0.446177	0.057384	38.285000
1.175917	0.444562	0.058860	38.785000
1.188769	0.443176	0.060257	39.286000
1.209123	0.441865	0.061520	39.785000
1.229272	0.440889	0.062689	40.285000
1.247121	0.439781	0.063718	40.785000
1.266537	0.438833	0.064754	41.286000
1.282240	0.438175	0.065812	41.785000
1.299064	0.437205	0.067014	42.285000
1.318699	0.436319	0.068330	42.785000
1.339636	0.435458	0.069745	43.285000
1.363385	0.434444	0.071090	43.785000
1.379584	0.433937	0.072466	44.285000
1.395370	0.432882	0.073771	44.785000
1.416797	0.431345	0.074878	45.285000
1.435922	0.430528	0.075980	45.785000
1.455398	0.429833	0.077386	46.285000
1.474690	0.428767	0.078947	46.786000
1.493078	0.427642	0.080399	47.285000
1.512619	0.426355	0.081751	47.786000
1.531082	0.425244	0.082954	48.285000
1.548600	0.424259	0.084086	48.786000
1.567524	0.422834	0.085253	49.285000
1.585645	0.421118	0.086469	49.785000
1.605991	0.419460	0.087891	50.285000
1.626058	0.417843	0.089362	50.785000
1.644791	0.416536	0.090861	51.285000
1.666018	0.415455	0.092200	51.785000
1.686302	0.415063	0.093400	52.286000
1.705822	0.414455	0.094629	52.785000
1.724118	0.413802	0.095929	53.285000
1.742988	0.413321	0.097342	53.785000
1.765249	0.412215	0.098818	54.286000
1.784783	0.410713	0.100284	54.785000
1.802837	0.409354	0.101647	55.285000
1.821988	0.407914	0.103085	55.785000
1.841172	0.406593	0.104414	56.285000
1.861435	0.406073	0.105746	56.786000
1.881683	0.405418	0.107155	57.285000
1.900532	0.405091	0.108427	57.785000
1.920452	0.404708	0.109631	58.285000
1.940046	0.403925	0.110875	58.786000
1.959868	0.402431	0.112148	59.285000
1.979770	0.400681	0.113488	59.785000
1.998853	0.399128	0.114771	60.285000
2.018776	0.398069	0.116007	60.785000
2.038153	0.396971	0.117402	61.285000
2.057141	0.395935	0.118677	61.785000
2.076933	0.394995	0.119946	62.285000
2.096102	0.394150	0.121313	62.785000
2.116007	0.392690	0.122688	63.285000
2.136662	0.391514	0.124027	63.785000
2.156418	0.390989	0.125236	64.286000
2.177449	0.390557	0.126429	64.785000
2.199126	0.390017	0.127840	65.285000
2.218457	0.388766	0.129352	65.785000
2.237995	0.386569	0.130939	66.285000
2.259323	0.385131	0.132442	66.786000
2.279433	0.384379	0.134078	67.285000
2.298641	0.383943	0.135603	67.785000
2.319837	0.383133	0.137099	68.285000
2.339054	0.382137	0.138427	68.785000
2.359568	0.381037	0.139686	69.285000
2.379899	0.379928	0.140972	69.785000
2.400185	0.378968	0.142339	70.285000
2.420747	0.377930	0.143755	70.785000
2.441857	0.376972	0.145141	71.285000
2.461605	0.375918	0.146512	71.785000
2.481006	0.375219	0.147924	72.285000
2.499729	0.374338	0.149277	72.785000
2.519004	0.373319	0.150774	73.285000
2.539356	0.372225	0.152051	73.785000
2.560021	0.370820	0.153472	74.286000
2.580130	0.369362	0.154861	74.785000
2.599997	0.368269	0.156205	75.285000
2.618774	0.367725	0.157615	75.785000
2.638306	0.366966	0.158980	76.285000
2.659902	0.366385	0.160417	76.785000
2.679532	0.365619	0.161744	77.285000
2.700647	0.364581	0.163030	77.785000
2.721749	0.363248	0.164461	78.285000
2.744404	0.362088	0.165923	78.785000
2.764831	0.360993	0.167304	79.285000
2.784804	0.360364	0.168633	79.785000
2.803556	0.359947	0.169975	80.285000
2.825201	0.359405	0.171507	80.785000
2.846540	0.358357	0.172940	81.285000
2.866786	0.356613	0.174326	81.785000
2.885902	0.354800	0.175682	82.285000
2.906497	0.353564	0.177056	82.785000
2.927086	0.352910	0.178462	83.286000
2.944934	0.352901	0.179712	83.785000
2.965306	0.353041	0.181057	84.285000
2.985273	0.353452	0.182520	84.786000
3.006947	0.353602	0.184022	85.286000
3.029907	0.352822	0.185516	85.785000
3.050408	0.351006	0.186841	86.285000
3.071535	0.348286	0.188107	86.785000
3.089198	0.345639	0.189354	87.285000
3.108987	0.343863	0.190756	87.786000
3.129556	0.343368	0.192273	88.285000
3.149609	0.343946	0.193750	88.785000
3.169281	0.344885	0.195135	89.285000
3.188309	0.345723	0.196569	89.785000
3.208082	0.345618	0.198028	90.286000
3.228619	0.344337	0.199446	90.785000
3.249174	0.342683	0.201018	91.285000
3.270079	0.340282	0.202555	91.785000
3.288429	0.337725	0.203934	92.285000
3.309267	0.336091	0.205432	92.785000
3.330656	0.335430	0.206800	93.285000
3.350589	0.335462	0.208149	93.785000
3.371490	0.336383	0.209472	94.286000
3.391684	0.338071	0.210874	94.785000
3.411671	0.339471	0.212206	95.286000
3.430949	0.340174	0.213543	95.785000
3.449248	0.339865	0.215005	96.285000
3.468125	0.338267	0.216421	96.786000
3.487899	0.335480	0.217763	97.285000
3.505953	0.331911	0.218997	97.786000
3.525703	0.328216	0.220171	98.285000
3.545284	0.325571	0.221521	98.785000
3.564869	0.324121	0.223059	99.285000
3.584669	0.324072	0.224565	99.785000
3.605766	0.325408	0.225775	100.285000
3.625782	0.327778	0.226963	100.785000
3.644814	0.330267	0.228144	101.285000
3.663540	0.332857	0.229265	101.785000
3.682488	0.334783	0.230534	102.285000
3.702042	0.335660	0.231725	102.785000
3.722133	0.334995	0.233001	103.285000
3.743476	0.332739	0.234579	103.785000
3.763467	0.329181	0.236120	104.285000
3.784684	0.324877	0.237783	104.785000
3.805908	0.320341	0.239337	105.285000
3.826343	0.316457	0.240815	105.785000
3.846137	0.313855	0.242163	106.285000
3.863806	0.313050	0.243296	106.785000
3.883053	0.313932	0.244438	107.285000
3.903213	0.316540	0.245530	107.785000
3.923365	0.320349	0.246798	108.285000
3.942828	0.324886	0.248180	108.785000
3.962891	0.329110	0.249609	109.285000
3.982102	0.332697	0.251066	109.785000
4.001829	0.334840	0.252422	110.285000
4.018934	0.335052	0.253920	110.786000
4.038792	0.333442	0.255486	111.285000
4.059767	0.330323	0.256913	111.785000
4.078945	0.326114	0.258449	112.285000
4.098073	0.320975	0.260073	112.785000
4.118828	0.315316	0.261688	113.285000
4.137691	0.309468	0.263128	113.785000
4.156326	0.304609	0.264454	114.285000
4.175773	0.301329	0.265633	114.785000
4.195536	0.300203	0.266997	115.285000
4.214807	0.301174	0.268227	115.785000
4.233628	0.304204	0.269313	116.285000
4.252839	0.308953	0.270239	116.785000
4.273186	0.314693	0.271215	117.285000
4.293007	0.320998	0.272207	117.785000
4.313776	0.327221	0.273415	118.285000
4.333761	0.332793	0.274741	118.785000
4.354097	0.337076	0.276124	119.285000
4.373870	0.339544	0.277471	119.785000
4.394770	0.340054	0.278835	120.285000
4.414634	0.338485	0.280291	120.786000
4.434073	0.335019	0.281769	121.285000
4.454245	0.330141	0.283484	121.785000
4.476078	0.323805	0.285124	122.286000
4.496707	0.316151	0.286778	122.785000
4.516166	0.308235	0.288292	123.285000
4.535178	0.300826	0.289799	123.785000
4.555037	0.294365	0.291208	124.285000
4.574359	0.289411	0.292559	124.785000
4.594594	0.286684	0.293769	125.285000
4.614871	0.286844	0.295008	125.785000
4.633228	0.289631	0.296124	126.285000
4.653050	0.294712	0.297153	126.785000
4.672654	0.301732	0.298087	127.285000
4.692297	0.310203	0.299164	127.785000
4.711333	0.319089	0.300324	128.285000
4.730447	0.328136	0.301547	128.785000
4.748505	0.336418	0.302790	129.285000
4.768730	0.343487	0.304080	129.785000
4.788376	0.349052	0.305536	130.285000
4.808326	0.352822	0.306921	130.785000
4.827381	0.354414	0.308209	131.285000
4.846745	0.353579	0.309716	131.785000
4.866070	0.350808	0.311388	132.285000
4.887497	0.346304	0.313058	132.785000
4.907038	0.339942	0.314821	133.286000
4.926171	0.332503	0.316454	133.785000
4.945402	0.323992	0.317963	134.285000
4.965088	0.314769	0.319651	134.785000
4.985817	0.304983	0.321387	135.286000
5.006112	0.295275	0.323173	135.785000
5.026895	0.286532	0.324727	136.285000
5.046514	0.279607	0.326108	136.785000
5.065863	0.274487	0.327170	137.285000
5.087871	0.271509	0.328185	137.785000
5.106609	0.271399	0.329259	138.285000
5.125782	0.274483	0.330095	138.785000
5.146003	0.280544	0.330827	139.285000
5.163867	0.289105	0.331628	139.785000
5.184258	0.299782	0.332696	140.285000
5.204764	0.311822	0.333767	140.786000
5.224811	0.324784	0.334852	141.285000
5.245336	0.338070	0.335836	141.785000
5.262558	0.350598	0.336900	142.285000
5.283889	0.361788	0.338026	142.785000
5.303437	0.371253	0.339312	143.285000
5.321960	0.378680	0.340805	143.785000
5.342335	0.384008	0.342296	144.285000
5.363570	0.386879	0.343869	144.785000
5.386667	0.387567	0.345454	145.285000
5.408830	0.386526	0.347142	145.785000
5.428562	0.383240	0.348914	146.286000
5.447906	0.377937	0.350600	146.785000
5.469316	0.370350	0.352413	147.285000
5.488495	0.360804	0.354320	147.785000
5.508680	0.350427	0.356215	148.285000
5.527422	0.339015	0.357964	148.785000
5.546003	0.326689	0.359711	149.285000
5.563260	0.314269	0.361631	149.785000
5.580923	0.302072	0.363377	150.285000
5.600024	0.290023	0.364779	150.785000
5.616922	0.278967	0.366100	151.285000
5.635898	0.269555	0.367374	151.785000
5.657210	0.262071	0.368445	152.285000
5.677224	0.256683	0.369466	152.785000
5.694035	0.253558	0.370462	153.286000
5.711623	0.252746	0.371388	153.785000
5.730872	0.255137	0.372057	154.285000
5.747987	0.260439	0.372861	154.785000
5.767874	0.268532	0.373783	155.285000
5.786866	0.279252	0.374536	155.785000
5.803916	0.292320	0.375159	156.286000
5.824185	0.307281	0.375749	156.785000
5.844587	0.323309	0.376408	157.285000
5.864958	0.340063	0.377443	157.785000
5.880915	0.356914	0.378369	158.285000
5.900560	0.373496	0.379455	158.785000
5.920150	0.389563	0.380695	159.285000
5.940160	0.404171	0.381904	159.785000
5.957505	0.416963	0.382968	160.285000
5.979871	0.427602	0.384000	160.786000
6.000034	0.436124	0.385149	161.285000
6.018359	0.442423	0.386613	161.785000
6.034562	0.446700	0.388079	162.285000
6.052568	0.448970	0.389804	162.785000
6.076532	0.449142	0.391375	163.285000
6.093432	0.447328	0.393062	163.785000
6.108830	0.444067	0.394889	164.285000
6.127917	0.440177	0.396462	164.785000
6.148457	0.434489	0.398305	165.285000
6.169674	0.426792	0.400219	165.785000
6.188531	0.417484	0.401934	166.285000
6.206546	0.406866	0.404075	166.785000
6.224524	0.394991	0.406075	167.285000
6.243129	0.382249	0.407739	167.785000
6.263063	0.369032	0.409641	168.285000
6.279045	0.355577	0.411456	168.785000
6.297298	0.341841	0.412723	169.285000
6.315825	0.327982	0.414270	169.785000
6.338064	0.314399	0.416168	170.285000
6.356302	0.301091	0.417881	170.785000
6.373804	0.287949	0.419248	171.285000
6.392455	0.275370	0.420210	171.786000
6.409860	0.263849	0.421291	172.285000
6.431387	0.253663	0.422689	172.785000
6.453349	0.244849	0.423927	173.285000
6.470451	0.238495	0.424672	173.785000
6.487610	0.234678	0.425074	174.285000
6.504512	0.233421	0.425586	174.785000
6.521484	0.235157	0.426196	175.285000
6.541069	0.239741	0.427159	175.785000
6.560815	0.247395	0.428203	176.285000
6.578463	0.258096	0.429201	176.786000
6.596292	0.271721	0.430317	177.285000
6.615745	0.287948	0.431268	177.785000
6.633800	0.305886	0.432232	178.285000
6.654826	0.325238	0.433054	178.785000
6.674524	0.345661	0.433977	179.285000
6.692877	0.367179	0.434907	179.785000
6.712224	0.389229	0.435811	180.285000
6.730264	0.411216	0.436607	180.785000
6.750085	0.432471	0.437375	181.285000
6.769807	0.452452	0.438156	181.786000
6.788885	0.471374	0.438888	182.286000
