Data run started at:  Tuesday, October 17, 2017	2:34:24 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	7.319000
0.032224	0.488559	-0.004408	7.480000
0.032239	0.488661	-0.004795	7.980000
0.032499	0.488353	-0.005147	8.479000
0.032932	0.487701	-0.005240	8.979000
0.042432	0.487395	-0.005236	9.479000
0.061197	0.486996	-0.005240	9.980000
0.087999	0.486561	-0.005248	10.479000
0.109459	0.486397	-0.005050	10.980000
0.129462	0.486500	-0.004632	11.479000
0.150920	0.486679	-0.004067	11.979000
0.169658	0.486462	-0.003414	12.479000
0.184224	0.486111	-0.002723	12.979000
0.202869	0.485791	-0.001772	13.479000
0.221051	0.485313	-0.000455	13.979000
0.238278	0.484855	0.001055	14.479000
0.254932	0.484651	0.002305	14.979000
0.269057	0.484495	0.003096	15.480000
0.287906	0.484085	0.003817	15.979000
0.309019	0.483511	0.004773	16.480000
0.329602	0.482643	0.006090	16.979000
0.349212	0.481673	0.007202	17.480000
0.366695	0.480804	0.008087	17.979000
0.387470	0.479896	0.009229	18.479000
0.404669	0.478850	0.010488	18.979000
0.422879	0.477672	0.011370	19.479000
0.440674	0.476315	0.012446	19.980000
0.462765	0.475308	0.013803	20.479000
0.488278	0.474443	0.014970	20.980000
0.514933	0.473206	0.016002	21.479000
0.524683	0.471411	0.017045	21.980000
0.545122	0.469871	0.018024	22.479000
0.573895	0.468720	0.019315	22.980000
0.595344	0.467615	0.020608	23.479000
0.616428	0.466368	0.021970	23.979000
0.637964	0.465214	0.023416	24.479000
0.660218	0.464321	0.024793	24.979000
0.677283	0.463383	0.026075	25.480000
0.691721	0.462343	0.027285	25.979000
0.719381	0.461282	0.028547	26.480000
0.739790	0.460077	0.029921	26.979000
0.751882	0.458970	0.031205	27.479000
0.770370	0.457732	0.032700	27.979000
0.796189	0.456481	0.034105	28.479000
0.816997	0.455526	0.035573	28.980000
0.826834	0.454506	0.037143	29.479000
0.840248	0.453492	0.038706	29.980000
0.862411	0.452612	0.040098	30.479000
0.882101	0.451614	0.041286	30.979000
0.899700	0.450485	0.042516	31.479000
0.918457	0.449365	0.043679	31.979000
0.940926	0.448160	0.044887	32.479000
0.963692	0.447109	0.045971	32.979000
0.990497	0.446062	0.047081	33.479000
1.001910	0.444908	0.048230	33.980000
1.017825	0.443732	0.049389	34.479000
1.037714	0.442644	0.050633	34.979000
1.054049	0.441708	0.051876	35.480000
1.069949	0.440873	0.053085	35.979000
1.090237	0.439888	0.054418	36.479000
1.111384	0.438680	0.055692	36.979000
1.135675	0.437375	0.056846	37.479000
1.155650	0.436103	0.058000	37.979000
1.170800	0.434940	0.059317	38.479000
1.191351	0.433725	0.060747	38.979000
1.211145	0.432546	0.062170	39.479000
1.228006	0.431378	0.063485	39.979000
1.248004	0.430048	0.064705	40.479000
1.265037	0.428658	0.066009	40.979000
1.284656	0.427657	0.067459	41.479000
1.304409	0.426752	0.068795	41.980000
1.322128	0.425954	0.069998	42.479000
1.343934	0.425276	0.071303	42.979000
1.359372	0.424544	0.072645	43.479000
1.377573	0.423842	0.073987	43.979000
1.396472	0.423073	0.075278	44.480000
1.415814	0.422322	0.076566	44.979000
1.435969	0.421402	0.077963	45.480000
1.452686	0.420232	0.079332	45.979000
1.469383	0.419015	0.080662	46.479000
1.488136	0.417817	0.081993	46.979000
1.508592	0.416744	0.083295	47.479000
1.526264	0.415750	0.084666	47.979000
1.545250	0.414873	0.086025	48.480000
1.564550	0.413768	0.087250	48.979000
1.583811	0.412611	0.088325	49.479000
1.602910	0.411798	0.089442	49.980000
1.620835	0.411153	0.090743	50.479000
1.640748	0.410514	0.092076	50.979000
1.661253	0.409616	0.093354	51.479000
1.679517	0.408540	0.094560	51.980000
1.697801	0.407495	0.095860	52.479000
1.717500	0.406688	0.097302	52.979000
1.737652	0.406035	0.098667	53.479000
1.760429	0.405383	0.099937	53.979000
1.780079	0.404794	0.100995	54.480000
1.797467	0.403860	0.102061	54.979000
1.816742	0.402753	0.103302	55.480000
1.835848	0.401719	0.104588	55.979000
1.855935	0.400792	0.105758	56.479000
1.877170	0.400006	0.106994	56.979000
1.895866	0.398941	0.108384	57.479000
1.914718	0.398040	0.109747	57.979000
1.935055	0.397479	0.111153	58.480000
1.954899	0.396655	0.112338	58.979000
1.975862	0.395666	0.113514	59.479000
1.995023	0.394684	0.114854	59.979000
2.014954	0.393844	0.116393	60.479000
2.032906	0.393068	0.117896	60.980000
2.051142	0.392218	0.119289	61.479000
2.069974	0.391301	0.120614	61.980000
2.090344	0.390799	0.121814	62.479000
2.109800	0.390242	0.122969	62.979000
2.127907	0.389274	0.124312	63.479000
2.147950	0.388239	0.125567	63.979000
2.167971	0.387309	0.126864	64.480000
2.187682	0.386514	0.128177	64.979000
2.205983	0.385503	0.129497	65.480000
2.225022	0.384799	0.130794	65.979000
2.246523	0.384493	0.131942	66.480000
2.266662	0.384115	0.133302	66.979000
2.285396	0.383753	0.134743	67.480000
2.306014	0.383054	0.136019	67.979000
2.324294	0.382240	0.137244	68.480000
2.344436	0.381372	0.138486	68.979000
2.363993	0.380512	0.139847	69.479000
2.384316	0.379891	0.141200	69.979000
2.404113	0.379489	0.142569	70.479000
2.423552	0.379120	0.143831	70.980000
2.443855	0.378638	0.144963	71.479000
2.463576	0.378237	0.146353	71.979000
