Data run started at:  Thursday, October 19, 2017	4:09:49 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	16.071000
0.089453	0.502848	0.027387	16.342000
0.089562	0.502571	0.027366	16.843000
0.089773	0.502269	0.027458	17.342000
0.089529	0.502131	0.027626	17.843000
0.090772	0.502088	0.027714	18.342000
0.092827	0.502332	0.027546	18.842000
0.109301	0.502728	0.027411	19.342000
0.135832	0.503262	0.027451	19.842000
0.159977	0.503631	0.027644	20.342000
0.183782	0.504047	0.027811	20.843000
0.209269	0.504101	0.028039	21.342000
0.230429	0.502858	0.028470	21.842000
0.242572	0.501576	0.029131	22.342000
0.262965	0.501079	0.029951	22.842000
0.287307	0.500509	0.030793	23.342000
0.304455	0.499994	0.031767	23.842000
0.321953	0.499112	0.032921	24.342000
0.340978	0.497954	0.034015	24.842000
0.364190	0.496590	0.034938	25.342000
0.385969	0.495332	0.035798	25.842000
0.407321	0.494310	0.036645	26.342000
0.425315	0.493530	0.037601	26.842000
0.446446	0.492479	0.038730	27.342000
0.464403	0.491193	0.039991	27.842000
0.483902	0.490237	0.041119	28.342000
0.502388	0.489234	0.042197	28.842000
0.525865	0.487939	0.043494	29.342000
0.549054	0.486610	0.044964	29.842000
0.574381	0.485339	0.046306	30.342000
0.587851	0.484346	0.047620	30.842000
0.612625	0.483119	0.049243	31.342000
0.638187	0.481762	0.050854	31.842000
0.657913	0.480493	0.052290	32.342000
0.677414	0.479404	0.053527	32.842000
0.698904	0.478412	0.054922	33.342000
0.718800	0.477234	0.056235	33.842000
0.732958	0.475986	0.057546	34.342000
0.752122	0.474786	0.059017	34.842000
0.781021	0.473720	0.060404	35.342000
0.799585	0.472328	0.061712	35.842000
0.810437	0.470896	0.063062	36.342000
0.837723	0.469523	0.064427	36.842000
0.865394	0.468427	0.065618	37.342000
0.884437	0.467169	0.066833	37.842000
0.894703	0.465817	0.068277	38.342000
0.917506	0.464467	0.069634	38.842000
0.939709	0.463268	0.070997	39.342000
0.958843	0.462320	0.072356	39.842000
0.980598	0.461715	0.073773	40.342000
1.003140	0.460840	0.075169	40.842000
1.031464	0.459567	0.076638	41.342000
1.054745	0.458048	0.078140	41.842000
1.069018	0.456762	0.079604	42.343000
1.086018	0.455701	0.081050	42.842000
1.107575	0.454484	0.082461	43.342000
1.123841	0.453238	0.083867	43.842000
1.144043	0.451758	0.085202	44.342000
1.165750	0.450720	0.086522	44.842000
1.191626	0.449808	0.087862	45.342000
1.211667	0.448654	0.089356	45.842000
1.227463	0.447342	0.091068	46.342000
1.248715	0.445858	0.092798	46.842000
1.269601	0.444571	0.094258	47.342000
1.288327	0.443522	0.095686	47.842000
1.309430	0.442462	0.097069	48.342000
1.327127	0.441167	0.098469	48.842000
1.347414	0.439621	0.099779	49.342000
1.370383	0.438052	0.101184	49.842000
1.393969	0.437047	0.102516	50.342000
1.414038	0.436347	0.103687	50.842000
1.430917	0.435424	0.104786	51.342000
1.454416	0.434408	0.106153	51.842000
1.475068	0.433386	0.107600	52.342000
1.494744	0.432330	0.109180	52.842000
1.514230	0.431091	0.110745	53.342000
1.533042	0.429781	0.112088	53.842000
1.554564	0.428386	0.113274	54.342000
1.574441	0.427104	0.114649	54.842000
1.594507	0.425811	0.116121	55.342000
1.613016	0.424796	0.117548	55.842000
1.632309	0.423730	0.118920	56.342000
1.653168	0.422451	0.120291	56.842000
