Data run started at:  Tuesday, October 10, 2017	4:39:42 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
2.739116	0.633119	0.064541	75.736000
2.762207	0.632057	0.065275	76.236000
2.785736	0.631174	0.065802	76.736000
2.807492	0.630071	0.065973	77.236000
2.828467	0.628280	0.066364	77.736000
2.849664	0.626961	0.066916	78.236000
2.870933	0.625271	0.067122	78.736000
2.891389	0.623645	0.067147	79.236000
2.912002	0.622748	0.067538	79.736000
2.936112	0.622343	0.068443	80.236000
2.957470	0.622418	0.069176	80.736000
2.977967	0.622438	0.070034	81.237000
3.000046	0.621803	0.070636	81.736000
3.021536	0.620312	0.071300	82.237000
3.040994	0.619112	0.071849	82.736000
3.064444	0.617608	0.072281	83.236000
3.086913	0.616406	0.072624	83.736000
3.109016	0.615647	0.073094	84.236000
3.131418	0.615672	0.073713	84.736000
3.153249	0.615739	0.074070	85.236000
3.175410	0.615197	0.074501	85.736000
3.196070	0.613991	0.074867	86.236000
3.217859	0.612940	0.075622	86.736000
3.238898	0.611326	0.076383	87.236000
3.261127	0.610341	0.076663	87.736000
3.281697	0.610125	0.076885	88.236000
3.301886	0.610222	0.077183	88.736000
3.323147	0.610087	0.078000	89.236000
3.343598	0.609572	0.078404	89.737000
3.365979	0.608381	0.078850	90.236000
3.387823	0.606948	0.079463	90.736000
3.409438	0.605833	0.080040	91.237000
3.429888	0.605461	0.080197	91.736000
3.450743	0.605534	0.080607	92.237000
3.472821	0.605948	0.081314	92.736000
3.494022	0.605738	0.082169	93.236000
3.517595	0.604366	0.082646	93.736000
3.539192	0.602295	0.083104	94.236000
3.559889	0.600848	0.083902	94.736000
3.580925	0.601011	0.084502	95.236000
3.601236	0.601260	0.085432	95.736000
3.622269	0.600909	0.086203	96.236000
3.643735	0.600735	0.086245	96.736000
3.666077	0.600156	0.086354	97.236000
3.689648	0.599117	0.086752	97.736000
3.711429	0.598396	0.087382	98.236000
3.733013	0.597849	0.087639	98.736000
3.754374	0.597057	0.087864	99.236000
3.775808	0.596171	0.088264	99.736000
3.800989	0.595929	0.088741	100.236000
3.822971	0.595796	0.089271	100.737000
3.845224	0.595403	0.089653	101.236000
3.867172	0.595053	0.090057	101.736000
3.890808	0.594826	0.090706	102.236000
3.916126	0.594548	0.090828	102.736000
3.938585	0.594025	0.091458	103.236000
3.960140	0.593613	0.092540	103.736000
3.982041	0.592940	0.093346	104.236000
4.005649	0.592058	0.093988	104.736000
4.029146	0.590657	0.094377	105.236000
4.051001	0.590122	0.094988	105.736000
4.071765	0.590425	0.095325	106.237000
4.092985	0.590844	0.095616	106.736000
4.112219	0.590970	0.095956	107.236000
4.133646	0.591209	0.096242	107.736000
4.156848	0.591044	0.096439	108.236000
4.177945	0.590786	0.096661	108.736000
4.199289	0.590764	0.097503	109.236000
4.221115	0.590372	0.098372	109.736000
4.242371	0.589122	0.099231	110.236000
4.263491	0.587900	0.100022	110.736000
4.284567	0.586896	0.100536	111.236000
4.307990	0.586090	0.101079	111.736000
4.329379	0.585301	0.101921	112.236000
4.350385	0.584758	0.102355	112.736000
4.370609	0.585050	0.102315	113.236000
4.391605	0.585072	0.102371	113.736000
4.412939	0.585829	0.102791	114.236000
4.433917	0.586720	0.103501	114.736000
4.457630	0.587589	0.104067	115.236000
4.479962	0.588513	0.104714	115.736000
4.500838	0.589146	0.105387	116.237000
4.522656	0.589300	0.105940	116.737000
4.543046	0.588546	0.106278	117.236000
4.564703	0.587998	0.106816	117.736000
4.586832	0.587426	0.107457	118.236000
4.609782	0.586980	0.108119	118.736000
