Data run started at:  Tuesday, October 17, 2017	4:12:13 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
NaN	NaN	NaN	10.903000
0.063035	0.482456	0.023940	11.151000
0.062759	0.482508	0.024055	11.651000
0.063056	0.483053	0.024022	12.151000
0.062970	0.483185	0.024004	12.652000
0.063080	0.482936	0.023901	13.151000
0.062818	0.482718	0.023725	13.652000
0.063006	0.483030	0.023649	14.151000
0.063051	0.483180	0.023416	14.652000
0.063029	0.483560	0.023161	15.151000
0.063895	0.483823	0.023098	15.651000
0.074448	0.482796	0.023128	16.151000
0.097321	0.482096	0.023212	16.651000
0.125308	0.482250	0.023230	17.151000
0.146964	0.481985	0.023386	17.651000
0.168307	0.481158	0.023857	18.151000
0.192545	0.481188	0.024460	18.651000
0.212622	0.481268	0.025096	19.151000
0.229098	0.480839	0.025841	19.652000
0.247461	0.480337	0.026754	20.151000
0.267145	0.479710	0.027591	20.651000
0.286475	0.479236	0.028463	21.151000
0.303391	0.478924	0.029518	21.651000
0.323697	0.478426	0.030471	22.151000
0.345434	0.476820	0.031591	22.651000
0.367922	0.475147	0.032783	23.151000
0.386238	0.474600	0.033907	23.651000
0.406651	0.473557	0.034858	24.151000
0.427197	0.471989	0.036004	24.651000
0.445081	0.470325	0.037142	25.151000
0.461729	0.469614	0.038193	25.652000
0.481013	0.469196	0.039320	26.151000
0.505707	0.468598	0.040443	26.651000
0.526210	0.467674	0.041437	27.151000
0.547120	0.466556	0.042631	27.651000
0.563087	0.466239	0.044032	28.151000
0.589561	0.465577	0.045320	28.651000
0.614044	0.464090	0.046480	29.151000
0.632953	0.462408	0.047748	29.651000
0.651785	0.460918	0.049078	30.151000
0.671661	0.459422	0.050447	30.651000
0.691107	0.457408	0.051824	31.151000
0.704913	0.455347	0.053182	31.651000
0.722334	0.453841	0.054488	32.151000
0.749928	0.453850	0.055633	32.651000
0.769132	0.453576	0.056945	33.151000
0.782031	0.452701	0.058360	33.651000
0.806125	0.451555	0.059774	34.151000
0.832640	0.450269	0.061156	34.652000
0.851706	0.448914	0.062464	35.151000
0.858578	0.447963	0.063698	35.651000
0.878979	0.446752	0.065069	36.151000
0.903500	0.445976	0.066350	36.652000
0.921872	0.445160	0.067466	37.151000
0.940885	0.443908	0.068672	37.651000
0.962703	0.442188	0.069881	38.152000
0.985246	0.441250	0.071141	38.651000
1.012973	0.439576	0.072480	39.152000
1.031149	0.437536	0.073864	39.651000
1.045712	0.435172	0.075319	40.151000
1.063248	0.433663	0.076724	40.651000
1.082831	0.432566	0.078339	41.151000
1.097029	0.431475	0.079750	41.651000
1.116248	0.429820	0.081081	42.151000
1.137745	0.428027	0.082393	42.651000
1.161971	0.427061	0.083602	43.151000
1.181875	0.426828	0.084833	43.651000
1.198006	0.426519	0.086051	44.151000
1.217661	0.426110	0.087333	44.651000
1.236987	0.425573	0.088690	45.151000
1.255698	0.424226	0.089913	45.651000
1.277386	0.422782	0.091268	46.151000
1.293280	0.421374	0.092551	46.651000
1.311396	0.420258	0.093802	47.151000
1.332549	0.419729	0.095058	47.651000
1.354621	0.418515	0.096432	48.151000
