Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
2.751326	0.359577	0.184176	84.101000
2.771563	0.358093	0.185349	84.601000
2.792554	0.356844	0.186714	85.101000
2.812218	0.355841	0.188111	85.601000
2.833600	0.355148	0.189433	86.101000
2.855105	0.355012	0.190809	86.601000
2.875398	0.354996	0.192204	87.101000
2.894623	0.355053	0.193451	87.601000
2.915661	0.354644	0.194792	88.101000
2.937876	0.353588	0.196312	88.601000
2.957428	0.352677	0.197736	89.101000
2.980080	0.352250	0.199096	89.601000
3.003811	0.351274	0.200428	90.101000
3.025992	0.350144	0.201852	90.601000
3.048460	0.349143	0.203325	91.102000
3.069560	0.349033	0.204731	91.601000
3.091534	0.348870	0.206188	92.101000
3.111392	0.348121	0.207542	92.601000
3.133772	0.346939	0.208943	93.102000
3.153975	0.345620	0.210079	93.601000
3.175218	0.344803	0.211330	94.101000
3.195123	0.344214	0.212601	94.601000
3.215938	0.343989	0.213961	95.101000
3.235966	0.344257	0.215462	95.601000
3.255535	0.344795	0.216888	96.101000
3.275934	0.344681	0.218180	96.601000
3.295810	0.343973	0.219522	97.101000
3.317017	0.342788	0.220818	97.601000
3.337666	0.341559	0.222217	98.101000
3.358702	0.340264	0.223489	98.601000
3.380116	0.339328	0.224942	99.101000
3.400581	0.338885	0.226326	99.601000
3.421638	0.338422	0.227641	100.102000
3.442245	0.338399	0.229064	100.601000
3.462675	0.338868	0.230250	101.102000
3.482966	0.339503	0.231607	101.601000
3.503707	0.339788	0.233001	102.101000
3.523738	0.339226	0.234402	102.601000
3.543911	0.338272	0.235746	103.101000
3.565156	0.337038	0.237039	103.601000
3.585892	0.335133	0.238361	104.101000
3.607650	0.333084	0.239643	104.601000
3.628473	0.331134	0.241048	105.101000
3.648845	0.329678	0.242550	105.601000
3.668650	0.328599	0.243944	106.101000
3.688966	0.328397	0.245182	106.601000
3.710690	0.329353	0.246354	107.101000
3.731458	0.330971	0.247552	107.601000
3.752162	0.332626	0.248890	108.101000
3.774616	0.333995	0.250276	108.601000
3.795284	0.334711	0.251641	109.101000
3.816989	0.334497	0.253019	109.601000
3.838484	0.333452	0.254489	110.101000
3.859422	0.331670	0.255970	110.601000
3.879457	0.329535	0.257538	111.101000
3.899905	0.326949	0.259098	111.601000
3.919986	0.324400	0.260552	112.101000
3.940709	0.322640	0.261807	112.601000
3.962557	0.321964	0.263232	113.101000
3.983100	0.322274	0.264739	113.601000
4.003815	0.323403	0.266073	114.101000
4.023101	0.325199	0.267280	114.601000
4.043830	0.327227	0.268427	115.101000
4.064960	0.329444	0.269662	115.602000
4.085890	0.330964	0.271084	116.101000
4.107210	0.332183	0.272546	116.602000
4.129396	0.332755	0.274218	117.101000
4.150863	0.331987	0.275639	117.601000
4.171869	0.330338	0.277036	118.101000
4.192298	0.328308	0.278430	118.601000
4.213191	0.326096	0.279793	119.101000
4.233703	0.323403	0.281193	119.601000
4.253788	0.319946	0.282561	120.101000
4.275137	0.317132	0.284065	120.601000
4.296570	0.315092	0.285384	121.101000
4.319072	0.314114	0.286670	121.601000
4.340650	0.314406	0.287876	122.101000
4.362515	0.315843	0.289220	122.601000
4.384175	0.318411	0.290556	123.101000
4.405681	0.321378	0.291810	123.601000
4.426875	0.324449	0.293237	124.101000
4.448914	0.327804	0.294693	124.602000
